,date,pays,ville,stade,equipe1,equipe2,score1,score2,result_france,competition
0,1997-10-11,France,Lens,Stade Félix-Bollaert,France,Afrique du Sud,2,1,win,Match amical
1,1998-06-12,France,Marseille,Stade Vélodrome,France,Afrique du Sud,3,0,win,Coupe du monde 1998 (Groupe C)
2,2000-10-07,Afrique du Sud,Johannesbourg,Ellis Park Stadium,Afrique du Sud,France,0,0,draw,Coupe du challenge 2000[2] (amical)
3,2010-06-22,Afrique du Sud,Bloemfontein ,Free State Stadium,France,Afrique du Sud,1,2,loss,Coupe du monde 2010 (Groupe A)
4,2022-03-29,France,Villeneuve-d'Ascq,Stade Pierre-Mauroy,France,Afrique du Sud,5,0,win,Match amical
5,1990-11-17,Albanie,Tirana,Stade Qemal-Stafa,Albanie,France,0,1,win,Qualifications pour l'Euro 1992
6,1991-03-30,France,Paris,Parc des Princes,France,Albanie,5,0,win,Qualifications pour l'Euro 1992
7,2011-09-02,Albanie,Tirana,Stade Qemal-Stafa,Albanie,France,1,2,win,Qualifications pour l'Euro 2012
8,2011-10-07,France,Saint-Denis,Stade de France,France,Albanie,3,0,win,Qualifications pour l'Euro 2012
9,2014-11-14,France,Rennes,Stade de la route de Lorient,France,Albanie,1,1,draw,Match amical
10,2015-06-13,Albanie,Elbasan,Elbasan Arena,Albanie,France,1,0,loss,Match amical
11,2016-06-15,France,Marseille,Stade Vélodrome,France,Albanie,2,0,win,Euro 2016 (Groupe A)
12,2019-09-07,France,Saint-Denis,Stade de France,France,Albanie,4,1,win,Qualifications pour l'Euro 2020
13,2019-11-17,Albanie,Tirana,Arena Kombëtare,Albanie,France,0,2,win,Qualifications pour l'Euro 2020
14,1975-09-06,Algérie,Alger,Stade du 5 juillet 1962,Algérie,France,3,2,loss,Jeux méditerranéens de 1975
15,2001-10-06,France,Saint-Denis,Stade de France,France,Algérie,4,1,win,"Match amical[5],"
16,1931-03-15,France,Colombes,Stade olympique Yves-du-Manoir,France,Allemagne,1,0,win,Match amical
17,1933-03-19,Reich allemand,Berlin,Deutsches Stadion,Allemagne,France,3,3,draw,Match amical
18,1935-03-17,France,Paris,Parc des Princes,France,Allemagne,1,3,loss,Match amical
19,1937-03-21,Reich allemand,Stuttgart,Adolf-Hitler-Kampfbahn,Allemagne,France,4,0,loss,Match amical
20,1952-10-05,France,Colombes,Stade olympique Yves-du-Manoir,France,RFA,3,1,win,Match amical
21,1954-10-16,Allemagne de l'Ouest,Hanovre,Niedersachsenstadion,RFA,France,1,3,win,Match amical
22,1958-06-28,Suède,Göteborg,Ullevi,RFA,France,3,6,win,Coupe du monde 1958 (Petite finale)
23,1958-10-26,France,Colombes,Stade olympique Yves-du-Manoir,France,RFA,2,2,draw,Match amical
24,1962-10-24,Allemagne de l'Ouest,Stuttgart,Neckarstadion,RFA,France,2,2,draw,Match amical
25,1967-09-27,Allemagne de l'Ouest,Berlin,Stade olympique,RFA,France,5,1,loss,Match amical
26,1968-09-25,France,Marseille,stade Vélodrome,France,RFA,1,1,draw,Match amical
27,1973-10-13,Allemagne de l'Ouest,Gelsenkirchen,Parkstadion,RFA,France,2,1,loss,Match amical
28,1977-02-23,France,Paris,Parc des Princes,France,RFA,1,0,win,Match amical
29,1980-11-19,Allemagne de l'Ouest,Hanovre,Niedersachsenstadion,RFA,France,4,1,loss,Match amical
30,1982-07-08,Espagne,Séville,Stade Ramón-Sánchez-Pizjuán,RFA,France,3,3,loss,Coupe du monde 1982 (Demi-finale)
31,1984-04-18,France,Strasbourg,Stade de la Meinau,France,RFA,1,0,win,Match amical
32,1986-06-25,Mexique,Guadalajara,Stade Jalisco,RFA,France,2,0,loss,Coupe du monde 1986 (Demi-finale)
33,1987-08-12,Allemagne,Berlin,Stade olympique,RFA,France,2,1,loss,Match amical
34,1990-02-28,France,Montpellier,Stade de la Mosson,France,RFA,2,1,win,Match amical
35,1996-06-01,Allemagne,Stuttgart,Gottlieb-Daimler-Stadion,Allemagne,France,0,1,win,Match amical
36,2001-02-27,France,Saint-Denis,Stade de France,France,Allemagne,1,0,win,Match amical
37,2003-11-15,Allemagne,Gelsenkirchen,Arena AufSchalke,Allemagne,France,0,3,win,Match amical
38,2005-11-12,France,Saint-Denis,Stade de France,France,Allemagne,0,0,draw,Match amical
39,2012-02-29,Allemagne,Brême,Weserstadion,Allemagne,France,1,2,win,Match amical
40,2013-02-06,France,Saint-Denis,Stade de France,France,Allemagne,1,2,loss,Match amical
41,2014-07-04,Brésil,Rio de Janeiro,Stade Maracanã,France,Allemagne,0,1,loss,Coupe du monde 2014 (Quart de finale)
42,2015-11-13,France,Saint-Denis,Stade de France,France,Allemagne,2,0,win,Match amical
43,2016-07-07,France,Marseille,stade Vélodrome,Allemagne,France,0,2,win,Euro 2016 (Demi-finale)
44,2017-11-14,Allemagne,Cologne,RheinEnergieStadion,Allemagne,France,2,2,draw,Match amical
45,2018-09-06,Allemagne,Munich,Allianz Arena,Allemagne,France,0,0,draw,Ligue des nations 2018-2019 (Ligue A-Groupe 1)[6]
46,2018-10-16,France,Saint-Denis,Stade de France,France,Allemagne,2,1,win,Ligue des nations 2018-2019 (Ligue A-Groupe 1)
47,2021-06-15,Allemagne,Munich,Allianz Arena,France,Allemagne,1,0,win,Euro 2020  (Groupe F)
48,2023-09-12,Allemagne,Dortmund,Signal Iduna Park,Allemagne,France,2,1,loss,Match amical
49,1974-11-16,France,Paris,Parc des Princes,France,RDA,2,2,draw,Qualifications pour l'Euro 1976
50,1975-10-10,Allemagne de l'Est,Leipzig,Zentralstadion,RDA,France,2,1,loss,Qualifications pour l'Euro 1976
51,1984-12-08,France,Paris,Parc des Princes,France,RDA,2,0,win,Qualifications pour la Coupe du monde 1986
52,1985-09-11,Allemagne de l'Est,Leipzig,Zentralstadion,RDA,France,2,0,loss,Qualifications pour la Coupe du monde 1986
53,1986-11-19,Allemagne de l'Est,Leipzig,Zentralstadion,RDA,France,0,0,draw,Qualifications pour l'Euro 1988
54,1987-11-18,France,Paris,Parc des Princes,France,RDA,0,1,loss,Qualifications pour l'Euro 1988
55,1990-01-24,Koweït,Koweït (Stade Al-Sadaqua Walsalam,en,France,RDA,3,0,win,Tournoi du Koweït 1990 (amical)
56,1998-10-14,France,Saint-Denis,Stade de France,France,Andorre,2,0,win,Qualifications pour l'Euro 2000
57,1999-06-09,Espagne,Barcelone,Estadi Olímpic de Montjuïc,Andorre,France,0,1,win,Qualifications pour l'Euro 2000
58,2004-05-28,France,Montpellier,Stade de la Mosson,France,Andorre,4,0,win,Match amical
59,2019-06-11,Andorre,Andorre-la-Vieille,Estadi Nacional,Andorre,France,0,4,win,Qualifications pour l'Euro 2020
60,2019-09-10,France,Saint-Denis,Stade de France,France,Andorre,3,0,win,Qualifications pour l'Euro 2020
61,1923-05-10,France,Paris,Stade Pershing,France,Angleterre,1,4,loss,Match amical
62,1924-05-17,France,Paris,Stade Pershing,France,Angleterre,1,3,loss,Match amical
63,1925-05-21,France,Colombes,Stade olympique Yves-du-Manoir,France,Angleterre,2,3,loss,Match amical
64,1927-05-26,France,Colombes,Stade olympique Yves-du-Manoir,France,Angleterre,0,6,loss,Match amical
65,1928-05-17,France,Colombes,Stade olympique Yves-du-Manoir,France,Angleterre,1,5,loss,Match amical
66,1929-05-09,France,Colombes,Stade olympique Yves-du-Manoir,France,Angleterre,1,4,loss,Match amical
67,1931-05-14,France,Colombes,Stade olympique Yves-du-Manoir,France,Angleterre,5,2,win,Match amical
68,1933-12-06,Angleterre,Londres,White Hart Lane,Angleterre,France,4,1,loss,Match amical
69,1938-05-26,France,Colombes,Stade olympique Yves-du-Manoir,France,Angleterre,2,4,loss,Match amical
70,1945-05-26,Angleterre,Londres,Stade de Wembley,Angleterre,France,2,2,draw,Match amical
71,1946-05-19,France,Colombes,Stade olympique Yves-du-Manoir,France,Angleterre,2,1,win,Match amical
72,1947-05-03,Angleterre,Londres,Arsenal Stadium,Angleterre,France,3,0,loss,Match amical
73,1949-05-22,France,Colombes,Stade olympique Yves-du-Manoir,France,Angleterre,1,3,loss,Match amical
74,1951-10-03,Angleterre,Londres,Arsenal Stadium,Angleterre,France,2,2,draw,Match amical
75,1955-05-15,France,Colombes,Stade olympique Yves-du-Manoir,France,Angleterre,1,0,win,Match amical
76,1957-11-27,Angleterre,Londres,Stade de Wembley,Angleterre,France,4,0,loss,Match amical
77,1962-10-20,Angleterre,Sheffield,Hillsborough,Angleterre,France,1,1,draw,Qualifications pour l'Euro 1964
